source,campaign,impr,cost,clicks,cpc
google_ads,CAMPAIGN_29,506479,26684.7575475,31636,0.8434934109
google_ads,CAMPAIGN_30,1433148,154519.5544744,89553,1.725457545
google_ads,CAMPAIGN_31,569394,15957.4094723,35568,0.4486430974
google_ads,CAMPAIGN_32,541070,19788.8878147,33798,0.5855060848
google_ads,CAMPAIGN_33,271778,9588.5987937,16967,0.5651255831
google_ads,CAMPAIGN_34,2084704,52078.3460930,130275,0.3997568997
google_ads,CAMPAIGN_35,20028,476.0026965,1233,0.386115101
google_ads,CAMPAIGN_36,757369,40522.6201680,47317,0.8564137303
google_ads,CAMPAIGN_37,2033294,212699.9136754,127062,1.673986303
google_ads,CAMPAIGN_38,1699721,68173.3581419,106214,0.6418514968
google_ads,CAMPAIGN_39,253746,14729.4571355,15840,0.9298805779
google_ads,CAMPAIGN_40,27815,2724.0891364,1720,1.58421486
google_ads,CAMPAIGN_41,384812,23209.5379330,24032,0.9657828087
google_ads,CAMPAIGN_42,1704805,81100.0974333,106531,0.761279096
google_ads,CAMPAIGN_43,256556,19588.4462391,16016,1.223067054
google_ads,CAMPAIGN_44,429955,37503.4080050,26853,1.396604363
google_ads,CAMPAIGN_45,496587,21116.7362901,31018,0.680795012
google_ads,CAMPAIGN_46,1244281,67217.5457348,77749,0.864549473
google_ads,CAMPAIGN_47,1464451,149356.3339926,91509,1.632144128
google_ads,CAMPAIGN_48,847118,66906.7438770,52926,1.264158353
google_ads,CAMPAIGN_49,451367,9305.2529527,28192,0.3300727649
google_ads,CAMPAIGN_50,830283,30002.6495397,51874,0.5783781538
google_ads,CAMPAIGN_51,1160707,86155.3460200,72525,1.187935379
google_ads,CAMPAIGN_52,1643826,124564.6025461,102720,1.21265974
google_ads,CAMPAIGN_53,1293556,56867.3463639,80828,0.7035571983
google_ads,CAMPAIGN_54,1430168,156405.6044818,89367,1.750158051
google_ads,CAMPAIGN_55,637423,21277.6715505,39820,0.5343463473
google_ads,CAMPAIGN_56,1632229,50136.4929282,101995,0.4915566054
google_ads,CAMPAIGN_57,1986983,81519.4002603,124168,0.6565275707
google_ads,CAMPAIGN_58,881678,25684.6659894,55086,0.4662655355
google_ads,CAMPAIGN_59,790516,87031.3001883,49388,1.762183856
google_ads,CAMPAIGN_60,470675,14934.7826419,29398,0.508016216
google_ads,CAMPAIGN_61,28476,2051.8621095,1761,1.165301062
google_ads,CAMPAIGN_62,343663,28098.6854385,21460,1.309351605
google_ads,CAMPAIGN_63,1174163,110034.3031921,73366,1.499794772
google_ads,CAMPAIGN_64,2062094,105311.4130696,128862,0.8172423092
google_ads,CAMPAIGN_65,1965955,162866.8030378,122853,1.325701707
google_ads,CAMPAIGN_66,746924,21107.0610944,46664,0.4523215641
google_ads,CAMPAIGN_67,1942670,37752.0035924,121398,0.3109773511
google_ads,CAMPAIGN_68,979244,63251.6591213,61184,1.033796818
google_ads,CAMPAIGN_69,171523,8241.7819275,10701,0.770167861
google_ads,CAMPAIGN_70,783942,72309.2832697,48977,1.476379396
google_ads,CAMPAIGN_71,1359558,86064.6331697,84953,1.013080026
google_ads,CAMPAIGN_72,586059,67948.6897809,36610,1.856026638
google_ads,CAMPAIGN_73,222534,23540.1602771,13889,1.694824289
google_ads,CAMPAIGN_74,219815,10373.8036124,13720,0.7561345887
google_ads,CAMPAIGN_75,1575904,121334.0257981,98475,1.232129744
google_ads,CAMPAIGN_76,283083,5634.5683145,17674,0.318809824
google_ads,CAMPAIGN_77,627884,70830.9271155,39224,1.805813177
google_ads,CAMPAIGN_78,1178356,43966.8200157,73628,0.5971455007
google_ads,CAMPAIGN_79,1794077,103297.4889923,112111,0.9213868359
google_ads,CAMPAIGN_80,2087468,136295.5638396,130448,1.044828062
google_ads,CAMPAIGN_81,1836286,70128.3280493,114749,0.6111456526
google_ads,CAMPAIGN_82,365305,7855.7974189,22813,0.3443616091
google_ads,CAMPAIGN_83,1884978,118369.1288881,117792,1.004898194
google_ads,CAMPAIGN_84,503253,40311.8951881,31434,1.282413381
google_ads,CAMPAIGN_85,852724,74034.5415074,53276,1.389633171
google_ads,CAMPAIGN_86,202489,10159.1286476,12637,0.8039422384
google_ads,CAMPAIGN_87,255650,24382.8600873,15959,1.527824708
google_ads,CAMPAIGN_88,294496,17307.4106511,18387,0.9412831348
google_ads,CAMPAIGN_89,2115316,72337.7249053,132188,0.5472323493
google_ads,CAMPAIGN_90,1183548,32038.5760068,73953,0.4332300603
google_ads,CAMPAIGN_91,1685697,102675.7136003,105337,0.9747343918
google_ads,CAMPAIGN_92,1084553,35489.4439037,67766,0.523708842
google_ads,CAMPAIGN_93,1871538,78148.0944922,116952,0.6682056534
google_ads,CAMPAIGN_94,1991561,169885.9677548,124454,1.365054669
google_ads,CAMPAIGN_95,1663747,111325.9636152,103965,1.07079944
google_ads,CAMPAIGN_96,1809637,174942.0059494,113083,1.547018111
google_ads,CAMPAIGN_97,1548732,125792.5801174,96777,1.299821653
google_ads,CAMPAIGN_98,1703730,75150.6324792,106464,0.7058772875
google_ads,CAMPAIGN_99,1336380,130501.2143504,83505,1.562798957
google_ads,CAMPAIGN_100,1583553,89731.3377588,98953,0.906806554
google_ads,CAMPAIGN_101,1131723,130469.9907877,70714,1.845043889
google_ads,CAMPAIGN_102,897652,81836.7197955,56084,1.459172899
google_ads,CAMPAIGN_103,1541820,140018.0670264,96345,1.453301756
google_ads,CAMPAIGN_104,510933,57819.9223426,31914,1.811718921
google_ads,CAMPAIGN_105,1324215,111635.9430932,82744,1.34916484
google_ads,CAMPAIGN_106,1822140,70892.6246627,113865,0.6226035145
google_ads,CAMPAIGN_107,2066947,214167.5976794,129165,1.658089524
google_ads,CAMPAIGN_108,1154256,110418.1834021,72122,1.530990002
google_ads,CAMPAIGN_109,793588,87832.0355627,49580,1.771510058
google_ads,CAMPAIGN_110,1426973,79024.1652084,89167,0.8862501997
google_ads,CAMPAIGN_111,1322525,110287.0921679,82639,1.334566637
google_ads,CAMPAIGN_112,1983573,43702.6910598,123954,0.352570712
google_ads,CAMPAIGN_113,341021,38119.4816329,21295,1.790077316
google_ads,CAMPAIGN_114,1496769,69350.3253440,93529,0.741483779
google_ads,CAMPAIGN_115,153629,3913.7074004,9583,0.4084061786
google_ads,CAMPAIGN_116,523436,38579.4980690,32696,1.179951274
google_ads,CAMPAIGN_117,945130,65653.4350159,59052,1.111796227
google_ads,CAMPAIGN_118,486465,46108.2143803,30385,1.517460335
google_ads,CAMPAIGN_119,142524,9405.4542328,8889,1.058124182
google_ads,CAMPAIGN_120,1446496,134616.9926893,90387,1.489339541
google_ads,CAMPAIGN_121,369591,39316.0258269,23080,1.703431897
google_ads,CAMPAIGN_122,1900752,148911.2576089,118778,1.253693086
google_ads,CAMPAIGN_123,174411,17664.9165520,10882,1.623351053
