source,campaign,total_users,new_users,sessions,avg_session_duration,engagement_rate,purchases,revenue
google_ads,CAMPAIGN_27,54850,38484,65898,1149.094017,0.775950143,19,4848.63
google_ads,CAMPAIGN_28,128359,89940,154109,1487.747294,0.7652163983,32,8099.93
google_ads,CAMPAIGN_29,32785,23039,39420,1506.243801,0.6867088608,18,4598.53
google_ads,CAMPAIGN_30,93115,65270,111816,1737.927247,0.727616782,30,7599.73
google_ads,CAMPAIGN_31,36881,25906,44335,2581.679487,0.7392057989,4,1097.13
google_ads,CAMPAIGN_32,35037,24615,42122,2052.950996,0.7844593181,6,1597.33
google_ads,CAMPAIGN_33,17505,12343,21084,1476.151924,0.7785467128,15,3848.23
google_ads,CAMPAIGN_34,135534,94963,162719,1768.265439,0.7652881654,3,847.03
google_ads,CAMPAIGN_35,1115,870,1416,2029.744851,0.7792598967,32,8099.93
google_ads,CAMPAIGN_36,49119,34472,59021,1802.589918,0.7669112742,29,7349.63
google_ads,CAMPAIGN_37,132187,92620,158702,1280.369365,0.7529753266,30,7599.73
google_ads,CAMPAIGN_38,110470,77418,132642,1235.814703,0.7423587082,13,3348.03
google_ads,CAMPAIGN_39,16331,11521,19675,3587.804027,0.7376773712,31,7849.83
google_ads,CAMPAIGN_40,1622,1224,2024,1776.571427,0.7843368173,6,1597.33
google_ads,CAMPAIGN_41,24864,17494,29915,1481.829581,0.681732852,27,6849.43
google_ads,CAMPAIGN_42,110801,77650,133039,1762.272088,0.7445922343,16,4098.33
google_ads,CAMPAIGN_43,16514,11649,19895,663.8599796,0.5720629047,5,1347.23
google_ads,CAMPAIGN_44,27803,19551,33442,1622.594586,0.7151524828,8,2097.53
google_ads,CAMPAIGN_45,32141,22588,38647,684.5369095,0.5171903882,21,5348.83
google_ads,CAMPAIGN_46,80819,56662,97061,2321.699503,0.7537969624,24,6099.13
google_ads,CAMPAIGN_47,95153,66696,114262,1290.614454,0.6198362147,20,5098.73
google_ads,CAMPAIGN_48,54962,38562,66032,2121.418207,0.7472043375,11,2847.83
google_ads,CAMPAIGN_49,29197,20527,35114,1716.722827,0.7610654917,18,4598.53
google_ads,CAMPAIGN_50,53866,37795,64717,2948.362242,0.7294534015,28,7099.53
google_ads,CAMPAIGN_51,75378,52854,90532,2998.089904,0.7083102493,5,1347.23
google_ads,CAMPAIGN_52,106831,74871,128275,1597.025266,0.6790903348,27,6849.43
google_ads,CAMPAIGN_53,84027,58908,100910,1076.479366,0.7436173072,22,5598.93
google_ads,CAMPAIGN_54,92921,65134,111583,2110.805364,0.7612709317,26,6599.33
google_ads,CAMPAIGN_55,41310,29006,49650,1972.570735,0.7693471682,4,1097.13
google_ads,CAMPAIGN_56,106076,74342,127369,1992.72342,0.7945449911,8,2097.53
google_ads,CAMPAIGN_57,129172,90509,155084,2394.614903,0.7412081092,5,1347.23
google_ads,CAMPAIGN_58,57212,40137,68732,1319.591037,0.7334774552,23,5849.03
google_ads,CAMPAIGN_59,51277,35983,61610,779.8940191,0.4231169733,5,1347.23
google_ads,CAMPAIGN_60,30454,21407,36623,1848.543119,0.7252488214,27,6849.43
google_ads,CAMPAIGN_61,1665,1255,2076,1546.87935,0.7044869963,9,2347.63
google_ads,CAMPAIGN_62,22185,15619,26700,1664.26987,0.7592696629,5,1347.23
google_ads,CAMPAIGN_63,76254,53467,91583,1223.821421,0.7259876767,22,5598.93
google_ads,CAMPAIGN_64,134062,93932,160952,1396.526795,0.7353157122,9,2347.63
google_ads,CAMPAIGN_65,127803,89551,153442,2262.3836,0.756302521,27,6849.43
google_ads,CAMPAIGN_66,48439,33996,58205,1473.572187,0.6833590139,7,1847.43
google_ads,CAMPAIGN_67,126287,88490,151622,1943.470664,0.7680622453,5,1347.23
google_ads,CAMPAIGN_68,63564,44584,76355,1602.611975,0.7523809524,29,7349.63
google_ads,CAMPAIGN_69,10978,7774,13252,1791.219172,0.7669376694,22,5598.93
google_ads,CAMPAIGN_70,50849,35683,61097,1590.966685,0.5203545634,10,2597.73
google_ads,CAMPAIGN_71,88324,61916,106067,1959.634896,0.7552123552,32,8099.93
google_ads,CAMPAIGN_72,37966,26665,45637,1626.248838,0.7697026899,27,6849.43
google_ads,CAMPAIGN_73,14299,10098,17237,627.5872139,0.512775842,14,3598.13
google_ads,CAMPAIGN_74,14122,9974,17024,1523.862914,0.7276995305,27,6849.43
google_ads,CAMPAIGN_75,102409,71775,122969,2052.534322,0.7522084806,14,3598.13
google_ads,CAMPAIGN_76,18241,12858,21967,2385.834364,0.7692307692,16,4098.33
google_ads,CAMPAIGN_77,40689,28571,48905,1842.42025,0.7691633815,12,3097.93
google_ads,CAMPAIGN_78,76527,53658,91910,2807.354667,0.7421940928,12,3097.93
google_ads,CAMPAIGN_79,116613,81718,140014,1257.979956,0.7173287277,21,5348.83
google_ads,CAMPAIGN_80,135714,95089,162935,1356.871296,0.74644727,3,847.03
google_ads,CAMPAIGN_81,119361,83642,143311,1637.575478,0.7710760795,16,4098.33
google_ads,CAMPAIGN_82,23594,16605,28391,3607.268882,0.7606941082,27,6849.43
google_ads,CAMPAIGN_83,122531,85861,147115,2171.951352,0.7826446281,10,2597.73
google_ads,CAMPAIGN_84,32575,22892,39168,1738.399651,0.8084942085,20,5098.73
google_ads,CAMPAIGN_85,55327,38818,66470,1181.932233,0.7104477612,9,2347.63
google_ads,CAMPAIGN_86,12994,9185,15671,2938.785067,0.7608318891,29,7349.63
google_ads,CAMPAIGN_87,16455,11608,19824,1303.021587,0.5143737166,21,5348.83
google_ads,CAMPAIGN_88,18984,13378,22859,1690.159093,0.7861271676,23,5849.03
google_ads,CAMPAIGN_89,137527,96358,165110,1200.8052,0.691740413,11,2847.83
google_ads,CAMPAIGN_90,76865,53895,92316,1256.764374,0.8050847458,7,1847.43
google_ads,CAMPAIGN_91,109557,76779,131546,3172.711219,0.7079107505,20,5098.73
google_ads,CAMPAIGN_92,70420,49383,84582,1842.646561,0.7968337731,26,6599.33
google_ads,CAMPAIGN_93,121656,85248,146065,2139.246391,0.7662835249,18,4598.53
google_ads,CAMPAIGN_94,129470,90718,155442,2871.412492,0.768,27,6849.43
google_ads,CAMPAIGN_95,108128,75779,129832,1174.096562,0.7910447761,31,7849.83
google_ads,CAMPAIGN_96,117626,82427,141229,81.8944813,0.3333333333,6,1597.33
google_ads,CAMPAIGN_97,100640,70537,120846,1122.556121,0.7954545455,24,6099.13
google_ads,CAMPAIGN_98,110731,77601,132955,258.758876,0.56,6,1597.33
google_ads,CAMPAIGN_99,86815,60860,104256,383.3030555,0.5294117647,7,1847.43
google_ads,CAMPAIGN_100,102907,72124,123566,191.019104,0.3333333333,8,2097.53
google_ads,CAMPAIGN_101,73491,51533,88267,53.89203425,0.3125,20,5098.73
google_ads,CAMPAIGN_102,58252,40865,69980,754.9824468,0.3243243243,13,3348.03
google_ads,CAMPAIGN_103,100190,70222,120306,5163.743996,0.8461538462,24,6099.13
google_ads,CAMPAIGN_104,33075,23242,39768,41.96139816,0.2631578947,32,8099.93
google_ads,CAMPAIGN_105,86023,60305,103306,1731.116632,0.5714285714,24,6099.13
google_ads,CAMPAIGN_106,118440,82997,142206,543.6238543,0.75,3,847.03
google_ads,CAMPAIGN_107,134378,94154,161332,139.6726271,0.75,29,7349.63
google_ads,CAMPAIGN_108,74958,52560,90028,223.4073075,0.4,27,6849.43
google_ads,CAMPAIGN_109,51477,36123,61850,4578.792223,0.6764705882,13,3348.03
google_ads,CAMPAIGN_110,92713,64988,111334,30.99769233,0.6666666667,15,3848.23
google_ads,CAMPAIGN_111,85913,60228,103174,27043.81412,1,16,4098.33
google_ads,CAMPAIGN_112,128950,90354,154818,11952.81278,1,31,7849.83
google_ads,CAMPAIGN_113,22013,15498,26494,6.122481,0,6,1597.33
google_ads,CAMPAIGN_114,97257,68169,116786,1.424517,0,32,8099.93
google_ads,CAMPAIGN_115,9813,6958,11854,2484,0,22,5598.93
google_ads,CAMPAIGN_116,33889,23811,40745,2336,0.4980272751,19,4848.63
google_ads,CAMPAIGN_117,61343,43029,73690,2004,0.1050805312,28,7099.53
google_ads,CAMPAIGN_118,31482,22126,37856,2353,0.818497665,14,3598.13
google_ads,CAMPAIGN_119,9090,6452,10986,2470,0.7155494296,9,2347.63
google_ads,CAMPAIGN_120,93984,65878,112859,2043,0.6014988416,16,4098.33
google_ads,CAMPAIGN_121,23873,16800,28726,2009,0.3601702345,12,3097.93
google_ads,CAMPAIGN_122,123558,86580,148348,1513,0.2887001926,18,4598.53
google_ads,CAMPAIGN_123,11166,7905,13477,1640,0.9409849018,4,1097.13
